Id	Label	Color
0	Labe	0
1	Lab	0
2	La	0
3	Sam Houston 	0
4	E. Washing	0
5	Abil C	0
6	Georgia St	0
7	Texas 	0
8	South Carol	1
9	E. Illin	0
10	Minnes	0
11	Presbyter	0
12	Northern Illin	1
13	Missouri 	1
14	Northwestern 	0
15	Bry	0
16	Stony Br	0
17	Wake For	0
18	La.-Mon	1
19	Chattano	0
20	C. Michi	1
21	How	1
22	Ak	1
23	Charlo	1
24	Campb	0
25	Reinha	1
26	Mer	1
27	E. Kentu	1
28	Robert Mor	1
29	Poin	0
30	Charleston 	0
31	Missouri Bapt	0
32	SE Missouri 	1
33	Idaho St	0
34	U	0
35	Valpara	0
36	W. Illin	0
37	Boise 	0
38	Ole M	1
39	Kentucky C	0
40	Tenn. T	0
41	Tay	0
42	S. Illin	0
43	Tul	0
44	Tu	0
45	Cal-P	0
46	New Mexico 	0
47	Union College (	0
48	Murray 	0
49	North Dak	0
50	San Jose 	0
51	Rutg	0
52	Washington 	0
53	Weber 	0
54	Arizona 	0
55	Tem	0
56	Vanderb	1
57		0
58	Connecti	0
59	Villan	0
60	Syrac	0
61	Jacksonville 	0
62	Michigan 	0
63	Bowling Gr	0
64	W. Kentu	0
65	Colorado 	0
66	Color	0
67	Texas-San Anto	0
68	Hous	0
69	U	0
70	Ariz	0
71	Penn 	0
72		1
73	U	0
74	Virgi	0
75	Delaw	0
76	Pittsbu	1
77	W. Michi	1
78	Pur	0
79	Wag	0
80	Georget	0
81	N. I	0
82	I	0
83	Ohio 	0
84	N	0
85	T	0
86		0
87	Appalachian 	0
88	Michi	0
89	UT Mar	0
90	Kentu	0
91	N. Dakota 	0
92	Iowa 	0
93	Youngstown 	0
94	Illin	1
95	Indiana 	0
96	Indi	0
97	Woff	0
98	Georgia T	1
99	Ga. South	1
100	N. Carolina 	1
101	Delaware 	0
102	Monmo	0
103	Colg	0
104	Ball 	0
105	Nicholls 	0
106	Air Fo	0
107	So. U	0
108	Nev	0
109	Boston Coll	0
110	Massachuse	0
111	Califor	0
112	Northwest	1
113		0
114	Nebra	0
115	Hamp	0
116	Old Domin	0
117	South Dakota 	0
118	Misso	1
119	Marsh	0
120	Miami (Oh	0
121	James Madi	0
122	Maryl	1
123	R	0
124	Notre D	0
125	Duque	0
126	Buff	0
127	West Virgi	0
128	Alab	0
129	UC-Da	0
130	Stanf	1
131	Portland 	0
132	Oregon 	0
133	William & M	0
134	Virginia T	0
135	Arkan	0
136	Aub	0
137	Mont	0
138	Wyom	0
139	Virginia-Lynchb	0
140	Alcorn 	1
141	Faith	1
142	Mississippi Valley 	0
143	S.C. St	0
144	Bened	1
145	Clem	0
146	Geor	1
147	E	1
148	D	1
149		1
150	Buckn	1
151	Coastal Carol	0
152	The Cita	1
153	Libe	0
154	North Carol	1
155	Morgan 	1
156	E. Michi	1
157	Holy Cr	1
158	Alb	0
159	Central Conn. 	0
160	Tow	1
161	O	1
162	Kent 	1
163	Morehead 	1
164	Richm	1
165	Norfolk 	1
166	Ma	1
167	Mar	1
168	Sacred He	0
169	St. Fran	0
